simulant_id,name,status,references,naming,not_naming,unchecked,scalars_present,scalars_sourced,scalars_unsourced,composition_rows,composition_rows_cited,test1_named,test3_all_values_sourced
S001,AGK-2010,not_extracted,1,0,0,1,3,0,"bulk_density, cohesion, friction_angle",0,0,unknown,FAIL
S002,ALRS-1,not_extracted,1,0,0,1,0,0,,0,0,unknown,n/a
S003,ALS,not_extracted,1,0,0,1,1,0,friction_angle,0,0,unknown,FAIL
S004,BH-1,withheld_unverified,2,0,0,2,0,0,,0,0,unknown,n/a
S005,BHLD20,withheld_unverified,1,0,0,1,0,0,,0,0,unknown,n/a
S006,BP-1,withheld_unverified,2,0,0,2,4,0,"bulk_density, cohesion, friction_angle, particle_size_d50",0,0,unknown,FAIL
S007,CAS-1,withheld_unverified,3,0,0,3,2,0,"cohesion, friction_angle",0,0,unknown,FAIL
S008,CHENOBI,not_extracted,1,0,0,1,1,0,particle_morphology,0,0,unknown,FAIL
S009,CLDS-i,withheld_unverified,1,0,0,1,0,0,,0,0,unknown,n/a
S010,CLRS-1,not_extracted,1,0,0,1,0,0,,0,0,unknown,n/a
S011,CSM-CL,not_extracted,1,0,0,1,0,0,,0,0,unknown,n/a
S012,CUG-1A,withheld_unverified,2,0,0,2,3,0,"bulk_density, cohesion, friction_angle",0,0,unknown,FAIL
S013,CUMT-1,withheld_unverified,2,0,0,2,7,0,"bulk_density, cohesion, friction_angle, specific_gravity, density_g_cm3, particle_size_d50, particle_morphology",0,0,unknown,FAIL
S014,DNA-1,withheld_unverified,1,0,0,1,3,0,"particle_size_distribution, particle_morphology, particle_ruggedness",0,0,unknown,FAIL
S015,DNA-1A,withheld_unverified,3,0,0,3,2,0,"specific_gravity, particle_ruggedness",0,0,unknown,FAIL
S016,DUST-Y,not_published,1,0,0,1,0,0,,0,0,unknown,n/a
S017,EAC-1,withheld_unverified,1,0,0,1,2,0,"bulk_density, cohesion",0,0,unknown,FAIL
S018,EAC-1A,withheld_unverified,2,0,0,2,6,0,"bulk_density, cohesion, density_g_cm3, particle_size_d50, particle_size_distribution, glass_content_percent",0,0,unknown,FAIL
S019,FJS-1,withheld_unverified,2,0,0,2,4,0,"bulk_density, cohesion, friction_angle, glass_content_percent",0,0,unknown,FAIL
S020,FJS-1g,not_extracted,1,0,0,1,0,0,,0,0,unknown,n/a
S021,FJS-2,not_extracted,1,0,0,1,0,0,,0,0,unknown,n/a
S022,FJS-3,not_extracted,1,0,0,1,0,0,,0,0,unknown,n/a
S023,GCA-1,not_extracted,1,0,0,1,0,0,,0,0,unknown,n/a
S024,GRC-1,not_extracted,1,0,0,1,0,0,,0,0,unknown,n/a
S025,GreenSpar,withheld_unverified,1,0,0,1,1,0,particle_size_d50,0,0,unknown,FAIL
S026,JLU-H,not_extracted,1,0,0,1,1,0,particle_size_distribution,0,0,unknown,FAIL
S027,JSC-1,withheld_unverified,2,0,0,2,6,0,"bulk_density, cohesion, friction_angle, specific_gravity, particle_size_distribution, glass_content_percent",0,0,unknown,FAIL
S028,JSC-1A,withheld_unverified,2,0,0,2,6,0,"bulk_density, cohesion, friction_angle, specific_gravity, particle_size_d50, particle_size_distribution",0,0,unknown,FAIL
S029,JSC-1AC,withheld_unverified,1,0,0,1,0,0,,0,0,unknown,n/a
